Compiled shader: ASESampleShaders/AnimatedFireShaderFunction, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Legacy Shaders/VertexLit, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: UnityBuiltIn/Mobile/Bumped Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Bumped Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Bumped Specular, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Bumped Specular, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Mobile/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH VERTEXLIGHT_ON
Compiled shader: UnityBuiltIn/Mobile/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Mobile/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Mobile/Particles/Additive, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Mobile/Particles/Alpha Blended, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Mobile/Particles/Multiply, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Mobile/Particles/Multiply, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Mobile/Particles/Multiply, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Mobile/Unlit (Supports Lightmap), pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Mobile/Unlit (Supports Lightmap), pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Mobile/Unlit (Supports Lightmap), pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Mobile/VertexLit, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE
Compiled shader: UnityBuiltIn/Mobile/VertexLit, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: UnityBuiltIn/Skybox/6 Sided, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Sprites/Default, pass: unnamed, stage: all, keywords ETC1_EXTERNAL_ALPHA
Compiled shader: UnityBuiltIn/Sprites/Default, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN _ALPHATEST_ON _EMISSION _METALLICGLOSSMAP _NORMALMAP
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH _ALPHATEST_ON _EMISSION _METALLICGLOSSMAP _NORMALMAP
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH _ALPHATEST_ON _EMISSION _METALLICGLOSSMAP _NORMALMAP
Compiled shader: UnityBuiltIn/Standard, pass: FORWARD_DELTA, stage: all, keywords POINT _ALPHATEST_ON _METALLICGLOSSMAP _NORMALMAP
Compiled shader: UnityBuiltIn/Standard, pass: ShadowCaster, stage: all, keywords SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: UnityBuiltIn/Standard, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: UnityBuiltIn/Standard, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: UnityBuiltIn/Unlit/Color, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: UnityBuiltIn/Unlit/Color, pass: unnamed, stage: all, keywords no keywords
Compiled shader: UnityBuiltIn/Unlit/Texture, pass: unnamed, stage: all, keywords FOG_EXP2
Compiled shader: UnityBuiltIn/Unlit/Texture, pass: unnamed, stage: all, keywords no keywords
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/3 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/4 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/4 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/4 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/5 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/6 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/7 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/Legacy Shaders/Diffuse/8 Textures, pass: FORWARD, stage: all, keywords POINT
Compiled shader: VacuumShaders/Terrain To Mesh/One Directional Light/Diffuse/2 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/One Directional Light/Diffuse/2 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/One Directional Light/Diffuse/2 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: VacuumShaders/Terrain To Mesh/One Directional Light/Diffuse/2 Textures, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: ZogdashFog, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: ZogdashFogOpaq, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: ZogdashFogWave, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
